City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Show Low,US,2022-01-19 00:19:24,34.2542,-110.0298,42.71,83,20,11.5
262,Vao,NC,2022-01-19 00:19:24,-22.6667,167.4833,78.03,75,78,13.29
263,Aksu,CN,2022-01-19 00:19:25,41.1231,80.2644,23.45,47,41,3.18
264,Nador,MA,2022-01-19 00:19:25,35.174,-2.9287,46.65,81,0,2.3
265,Lagoa,PT,2022-01-19 00:19:26,39.05,-27.9833,58.41,85,100,17.34
266,Rawson,AR,2022-01-19 00:19:26,-43.3002,-65.1023,62.96,43,47,16.04
267,Mesyagutovo,RU,2022-01-19 00:19:26,55.5303,58.2528,23.22,87,100,16.15
268,Kitimat,CA,2022-01-19 00:19:27,54.0524,-128.6534,34.18,61,100,3.51
269,Te Anau,NZ,2022-01-19 00:19:27,-45.4167,167.7167,56.64,96,100,4.52
270,Haines Junction,CA,2022-01-19 00:19:28,60.7522,-137.5108,-0.45,85,100,1.14
271,Thaba-Tseka,LS,2022-01-19 00:19:28,-29.522,28.6084,57.85,75,25,4.92
272,Kahului,US,2022-01-19 00:16:54,20.8947,-156.47,83.46,69,40,0.0
273,Senanga,ZM,2022-01-19 00:19:29,-16.1167,23.2667,64.99,98,100,4.34
274,Arraias,BR,2022-01-19 00:19:29,-12.9288,-46.9437,70.92,86,81,4.18
275,Puerto Santander,CO,2022-01-19 00:19:30,8.3636,-72.4063,78.21,78,57,2.64
276,Broken Hill,AU,2022-01-19 00:19:30,-31.95,141.4333,68.7,49,98,15.05
277,Saint Anthony,US,2022-01-19 00:19:31,45.0205,-93.218,36.55,76,100,8.01
278,Margate,GB,2022-01-19 00:20:31,51.3813,1.3862,40.69,95,84,7.92
279,Saiha,IN,2022-01-19 00:20:31,22.4833,92.9667,51.64,88,77,3.49
280,Kenai,US,2022-01-19 00:20:32,60.5544,-151.2583,22.08,84,75,6.91
281,Brae,GB,2022-01-19 00:20:32,60.3964,-1.353,47.14,91,100,29.46
282,Khomutovo,RU,2022-01-19 00:20:33,52.4658,104.4025,18.21,97,99,3.94
283,Aykhal,RU,2022-01-19 00:20:33,66.0,111.5,-12.96,100,99,9.91
284,Songkhla,TH,2022-01-19 00:20:34,6.8333,100.6667,69.85,91,50,4.41
285,Port Blair,IN,2022-01-19 00:20:34,11.6667,92.75,77.88,77,44,6.35
286,Port Elizabeth,ZA,2022-01-19 00:20:30,-33.918,25.5701,68.09,79,92,15.66
287,Whyalla,AU,2022-01-19 00:20:35,-33.0333,137.5833,71.82,46,14,14.61
288,Chauk,MM,2022-01-19 00:20:35,20.8833,94.8167,62.19,65,0,5.3
289,Ouricuri,BR,2022-01-19 00:20:35,-7.8825,-40.0817,79.75,41,62,2.95
290,Roros,NO,2022-01-19 00:20:36,62.5747,11.3842,39.04,65,75,8.05
291,Mareeba,AU,2022-01-19 00:20:36,-17.0,145.4333,84.43,72,100,2.42
292,Omboue,GA,2022-01-19 00:20:37,-1.5746,9.2618,76.24,91,99,3.83
293,Medina,SA,2022-01-19 00:20:37,24.4686,39.6142,54.03,35,0,6.91
